Symbol,Sector,Industry,,,
BYG.l,Finance,Real estate investment trusts,,,
BYIT.l,Technology services,Information technology services,,,
BZT.l,Non-energy minerals,Precious metals,,,
CABP.l,Finance,Regional banks,,,
CAPD.l,Industrial services,Engineering & construction,,,
CASP.l,Energy minerals,Oil & gas production,,,
CAV.l,Finance,Investment banks/Brokers,,,
CBOX.l,Consumer non-durables,Food: specialty/candy,,,
CCC.l,Technology services,Information technology services,,,
CCH.l,Consumer non-durables,Beverages: non-alcoholic,,,
CCJI.l,Miscellaneous,Investment trusts/Mutual funds,,,
CCR.l,Consumer non-durables,Beverages: alcoholic,,,
CDGP.l,Consumer non-durables,Beverages: alcoholic,,,
CEL.l,Process industries,Agricultural commodities/Milling,,,
CER.l,Technology services,Packaged software,,,
CEY.l,Non-energy minerals,Precious metals,,,
CGNR.l,Non-energy minerals,Precious metals,,,
CGT.l,Miscellaneous,Investment trusts/Mutual funds,,,
CHAR.l,Energy minerals,Oil & gas production,,,
CHG.l,Electronic technology,Aerospace & defense,,,
CHRT.l,Electronic technology,Aerospace & defense,,,
CHRY.l,Finance,Investment managers,,,
CIC.l,Miscellaneous,Investment trusts/Mutual funds,,,
CKN.l,Transportation,Marine shipping,,,
CKT.l,Technology services,Packaged software,,,
CLA.l,Non-energy minerals,Other metals/Minerals,,,
CLBS.l,Technology services,Packaged software,,,
CLDN.l,Miscellaneous,Investment trusts/Mutual funds,,,
CLIG.l,Miscellaneous,Investment trusts/Mutual funds,,,
CLON.l,Non-energy minerals,Precious metals,,,
CMCX.l,Finance,Investment banks/Brokers,,,
CMO.l,Retail trade,Internet retail,,,
CNE.l,Energy minerals,Oil & gas production,,,
CNR.l,Non-energy minerals,Precious metals,,,
COA.l,Process industries,Textiles,,,
CODE.l,Commercial services,Miscellaneous commercial services,,,
COG.l,Technology services,Packaged software,,,
CORA.l,Non-energy minerals,Precious metals,,,
CPG.l,Consumer services,Restaurants,,,
CPH2.l,Industrial services,Oilfield services/Equipment,,,
CPI.l,Commercial services,Miscellaneous commercial services,,,
CPX.l,Electronic technology,Electronic components,,,
CRCL.l,Non-energy minerals,Other metals/Minerals,,,
CRDA.l,Process industries,Chemicals: specialty,,,
CREI.l,Finance,Real estate investment trusts,,,
CREO.l,Health technology,Medical specialties,,,
CRPR.l,Process industries,Containers/Packaging,,,
CRST.l,Consumer durables,Homebuilding,,,
CRW.l,Technology services,Packaged software,,,
CSN.l,Finance,Multi-line insurance,,,
CSSG.l,Electronic technology,Aerospace & defense,,,
CTAI.l,Commercial services,Commercial printing/Forms,,,
CTL.l,Non-energy minerals,Other metals/Minerals,,,
CTPE.l,Finance,Investment managers,,,
CTUK.l,Miscellaneous,Investment trusts/Mutual funds,,,
CTY.l,Finance,Financial conglomerates,,,
CURY.l,Distribution services,Wholesale distributors,,,
CUSN.l,Non-energy minerals,Other metals/Minerals,,,
CVCG.l,Miscellaneous,Investment trusts/Mutual funds,,,
CVSG.l,Health services,Hospital/Nursing management,,,
CWR.l,Electronic technology,Electronic production equipment,,,
CYAN.l,Electronic technology,Telecommunications equipment,,,
DBOX.l,Commercial services,Commercial printing/Forms,,,
DCC.l,Utilities,Gas distributors,,,
DCTA.l,Producer manufacturing,Electrical products,,,
DELT.l,Miscellaneous,Investment trusts/Mutual funds,,,
DEMG.l,Health technology,Medical specialties,,,
DEVO.l,Technology services,Packaged software,,,
DGE.l,Consumer non-durables,Beverages: alcoholic,,,
DGI9.l,Miscellaneous,Investment trusts/Mutual funds,,,
DGN.l,Miscellaneous,Investment trusts/Mutual funds,,,
DLAR.l,Commercial services,Commercial printing/Forms,,,
DNLM.l,Retail trade,Specialty stores,,,
DNM.l,Commercial services,Advertising/Marketing services,,,
DOTD.l,Technology services,Packaged software,,,
DPLM.l,Distribution services,Wholesale distributors,,,
DPP.l,Consumer services,Restaurants,,,
DRX.l,Utilities,Electric utilities,,,
DSCV.l,Producer manufacturing,Electrical products,,,
DSG.l,Technology services,Packaged software,,,
DSW.l,Finance,Financial conglomerates,,,
DUKE.l,Miscellaneous,Investment trusts/Mutual funds,,,
DWHA.l,Electronic technology,Electronic equipment/Instruments,,,
DWHT.l,Electronic technology,Electronic equipment/Instruments,,,
DWL.l,Producer manufacturing,Auto parts: OEM,,,
DXRX.l,Health technology,Biotechnology,,,
EAAS.l,Industrial services,Engineering & construction,,,
EAH.l,Health technology,Pharmaceuticals: major,,,
EBOX.l,Miscellaneous,Investment trusts/Mutual funds,,,
EBQ.l,Commercial services,Miscellaneous commercial services,,,
ECEL.l,Producer manufacturing,Miscellaneous manufacturing,,,
ECOB.l,Consumer durables,Homebuilding,,,
EDIN.l,Miscellaneous,Investment trusts/Mutual funds,,,
EEE.l,Non-energy minerals,Precious metals,,,
